edge_id,route_id,source,target,geom,length_m,kind,route_name,route_ref,sign_type,sign_num,state,fclass,aadt,aadt_com,through_lanes
899,328303,176090,181650,"LINESTRING(-97.366983000563 44.3610189997863,-97.3667929996939 44.3610189997863,-97.3645170002423 44.3610340001565,-97.3590440000008 44.3610530004486,-97.354858999722 44.3610670001866,-97.350835 44.3610979995947,-97.3481850004546 44.361116999866,-97.3442129997129 44.361154999748,-97.3408789995539 44.361163000227,-97.3377400002869 44.3611900003103,-97.3347149999245 44.3612310007224,-97.3307899999367 44.3612600000879,-97.325189000547 44.3613250005406,-97.3207050005175 44.3613640002637,-97.317383999879 44.3614010000099,-97.3148100005016 44.361420000183,-97.3106610002078 44.3614600004596,-97.309109999581 44.3614699995612,-97.3048599999032 44.3615099998037,-97.3032500006234 44.3615150003137,-97.3015900002167 44.3614899996858,-97.2984399992824 44.361420000183,-97.2975399996571 44.3614099997885,-97.2959000002401 44.3614000000345,-97.2939799995424 44.3614400003248,-97.2904600005089 44.3614699995612,-97.2852700001246 44.3615200001811,-97.2816499997353 44.3615600003894,-97.2786600004313 44.3616200006508,-97.2727739997379 44.3617870001875,-97.2702899998738 44.3618399997987,-97.2641399995897 44.3619399997221,-97.2586270000635 44.361998999629,-97.2501310000076 44.3620899996084,-97.2377640003907 44.3622390004339,-97.2348479998082 44.3622739997065,-97.2338650003422 44.3622869998347,-97.2311550005223 44.3623120001225,-97.2296369995074 44.36229999996,-97.2216979998435 44.3623269995194,-97.2197229997924 44.3623239996403,-97.2175979999536 44.3623210004033,-97.2096769998329 44.3623079996404,-97.2094929997099 44.3623079996404,-97.2070799999909 44.3623040004426,-97.2028439996586 44.3622980000397,-97.1972320003982 44.3622889997554,-97.1922909995359 44.3622810000723,-97.1915099997363 44.3622800001119,-97.1908200001733 44.3622989999999,-97.190430000186 44.3623300000405,-97.1897399997247 44.3624000003828,-97.1892359999345 44.3624690000419,-97.1887200004488 44.362579999686,-97.1883999998833 44.3626500003717,-97.187760000549 44.3628399997013,-97.1871499995554 44.3630699995186,-97.186550000404 44.3633199998597,-97.1862599999758 44.363470000066,-97.1859900005374 44.3636100005114,-97.1857199993023 44.3637599999752,-97.1851999996187 44.3641100000133,-97.1822499995993 44.366169999754,-97.1803870005995 44.3674649998142,-97.1799309995916 44.3677699997837,-97.1798739996902 44.3678089997116)",15137.812908200762,truck_route,U 14,U 14,U,14,SD,3,2015,334,2
900,328305,183565,183622,"LINESTRING(-97.1297140002129 44.1959270002222,-97.1297169996877 44.2021639996166,-97.1296670003573 44.2043710001684,-97.1295339993896 44.2089539997968,-97.1294649997926 44.2101600001492,-97.1294359994803 44.2126159999534,-97.1293970000205 44.2145339999972)",2067.829633261041,truck_route,U 81,U 81,U,81,SD,3,1521,176,2
901,328313,183650,183967,"LINESTRING(-97.1292580001034 44.3296690001862,-97.1292390007351 44.3296089999847,-97.1291710000647 44.3294269998978,-97.1290949998968 44.3292470002945,-97.1290099995079 44.3290690005505,-97.1289159997966 44.3288920001539,-97.1287979997958 44.3287079999886,-97.1286710004725 44.3285270002127,-97.1285360007533 44.3283490002115,-97.128391999915 44.3281750005546,-97.1282400004773 44.3280039994472,-97.1280810004687 44.3278370000341,-97.1279130002392 44.327673999779,-97.127738000337 44.3275149993579,-97.1275559998638 44.3273599994459,-97.1273670006162 44.3272090000747)",315.8146712056765,truck_route,U 14,U 14,U,14,SD,3,3792,531,4
902,328318,183832,183810,"LINESTRING(-97.1280580000041 44.5431269995595,-97.128146000766 44.5442479999845,-97.1281699992588 44.5445600002475,-97.1282600005688 44.5455200006645,-97.1282839999599 44.5459840000459,-97.1283940004631 44.547085999839,-97.1284069999836 44.5472239999466,-97.1284299995498 44.5474500000565,-97.1284600005853 44.5477899995263,-97.1285160006618 44.5480330003989,-97.1286300004646 44.5484099995473,-97.128679999795 44.5485499996706,-97.1288050003668 44.5487590002112,-97.1289790004441 44.5490480000778,-97.1290400005435 44.5491499993116,-97.1296509995654 44.5501259994103,-97.1297499992996 44.5502800004286,-97.1299400001688 44.5505900004864,-97.1301000000023 44.5509200001789,-97.1302799999274 44.5514300005628,-97.130399999578 44.5518700002151,-97.1304300006135 44.5520700004704,-97.1304599998524 44.5523699995647,-97.1304499998067 44.5529500002143,-97.1303900004306 44.5533299998455,-97.1303389994786 44.5536250000383,-97.1302899999731 44.5538109996951,-97.13014299966 44.5542469997541,-97.1295819999685 44.5558419998795,-97.1294229999598 44.5562990000059,-97.1289459999338 44.5576680003338,-97.1287339993234 44.5582730003976,-97.1285409998779 44.5588990001949,-97.1284289997249 44.5593740000737,-97.1283760000214 44.5596509997235,-97.1283469997091 44.5598009994456,-97.1282489997998 44.56053100004,-97.1282289997083 44.5607800000811,-97.1282260002336 44.5608219998674,-97.1282040004923 44.5611390003391,-97.1281910000735 44.5615510000589,-97.1281790003779 44.561910999787,-97.1281819998527 44.5622179994665,-97.1281779996547 44.5630769999709)",2265.3543225822814,truck_route,U 81,U 81,U,81,SD,3,2280,328,2
903,328333,172119,172163,"LINESTRING(-97.5037770003512 44.5873149994147,-97.5024980006093 44.587315999365,-97.5017460002237 44.5873169999551)",161.28345634121013,truck_route,S 28,S 28,S,28,SD,4,630,91,2
904,328336,172202,172245,"LINESTRING(-97.4997159999211 44.5873209997563,-97.4985929998147 44.5873229996568,-97.4976919994662 44.5873189998557)",160.72908441863365,truck_route,S 28,S 28,S,28,SD,4,630,91,2
905,328344,172745,172788,"LINESTRING(-97.4774770004219 44.5873020000585,-97.4759639994299 44.587303000009,-97.4754599996397 44.587303000009)",160.17168095418225,truck_route,S 28,S 28,S,28,SD,4,630,91,2
906,328349,172788,172838,"LINESTRING(-97.4754599996397 44.587303000009,-97.4748949997502 44.587303000009,-97.4734579998245 44.587319999806)",158.99600850213596,truck_route,S 28,S 28,S,28,SD,4,630,91,2
907,328357,173241,173277,"LINESTRING(-97.4573359992008 44.5873179999055,-97.4553089992712 44.587319999806)",160.96577800516155,truck_route,S 28,S 28,S,28,SD,4,1125,163,2
908,328364,173411,173463,"LINESTRING(-97.4492279994824 44.5873120002032,-97.4472020002761 44.5873020000585)",160.8900271925913,truck_route,S 28,S 28,S,28,SD,4,1125,163,2
909,328366,173463,173517,"LINESTRING(-97.4472020002761 44.5873020000585,-97.4451750003465 44.5872920005517)",160.96952063023286,truck_route,S 28,S 28,S,28,SD,4,1125,163,2
910,328370,173925,174042,"LINESTRING(-97.4289609996612 44.5872240000215,-97.4269339997316 44.5872259999254)",160.96603742282002,truck_route,S 28,S 28,S,28,SD,4,1125,163,2
911,328372,173760,173810,"LINESTRING(-97.4350410005234 44.5872389999383,-97.4330140005938 44.5872290004207)",160.969694498566,truck_route,S 28,S 28,S,28,SD,4,1125,163,2
