osm_id,state,state_source
node/10280537547,NC,osm
node/10280706211,CA,overture
node/10280947380,CA,osm
node/10280974053,MO,overture
node/10281189945,MT,overture
node/10281191541,MT,overture
node/10281372008,NM,osm
node/10281615530,MT,overture
node/10281696807,MT,overture
node/10281859690,NY,overture
node/10281859695,NY,overture
node/10282970277,TX,osm
node/10283041202,LA,nearest truck route
node/10283041203,LA,nearest truck route
node/10283076945,MT,overture
node/1028422453,SC,nearest truck route
node/10285217871,CA,overture
node/10285244210,OK,overture
node/10285309348,CA,nearest truck route
node/10285415092,OK,overture
node/10285437420,NC,overture
node/10285437422,NC,overture
node/10285437435,GA,overture
node/10285530306,MT,overture
node/10285530307,MT,overture
node/10285530308,MT,overture
node/10285530313,MT,overture
node/10285530319,MT,overture
node/10286202049,CA,overture
node/10286203797,CA,overture
node/10286712566,MO,overture
node/10286877228,MO,nearest truck route
node/10287023610,NY,nearest truck route
node/10287232353,FL,nearest truck route
node/10287589245,NC,osm
node/10287737764,NY,overture
node/10287820448,NY,overture
node/10287820449,NY,overture
node/10287820454,NY,nearest truck route
node/10287820460,NY,overture
node/10287841426,NY,overture
node/10287841427,NY,overture
node/10287890682,NY,nearest truck route
node/10287952583,CA,nearest truck route
node/10288264657,NY,overture
node/10288279164,NY,overture
node/10288279176,NY,nearest truck route
node/10288321850,CA,osm
node/10288335929,CA,overture
node/10288736857,NM,osm
node/10288736859,NM,osm
node/10289746381,NC,osm
node/10290143757,MA,overture
node/10290227292,SC,overture
node/10290474038,SC,overture
node/10290530272,SC,overture
node/10290547239,SC,overture
node/10290547242,SC,overture
node/10291371244,NC,nearest truck route
node/10291943608,NY,osm
node/10292318874,WV,overture
node/10292408457,WV,overture
node/10293670719,SC,overture
node/10293677521,SC,overture
node/10293712741,SC,overture
node/10294027361,MT,overture
node/1029410927,WY,osm
node/10294309823,LA,overture
node/10294635513,RI,osm
node/10294861010,CA,nearest truck route
node/10295112297,NC,osm
node/10295626578,GA,nearest truck route
node/10296001531,CA,nearest truck route
node/10296003217,CA,overture
node/10296003218,CA,overture
node/10296045935,SC,overture
node/10296045941,SC,overture
node/10296107804,OK,overture
node/10296285716,MD,overture
node/10296845588,NC,osm
node/10297008871,NC,nearest truck route
node/10297066805,CA,overture
node/10297154209,FL,overture
node/10297593898,CA,nearest truck route
node/10297729855,CA,overture
node/10297738308,NC,nearest truck route
node/10297755175,CA,overture
node/10298057690,NC,osm
node/10298367429,OK,overture
node/10298620448,OK,overture
node/10298620449,OK,overture
node/10299171961,PA,overture
node/10299184985,PA,nearest truck route
node/10299221619,PA,overture
node/10299221620,PA,nearest truck route
node/10299362210,VA,overture
node/10299640754,TX,nearest truck route
node/10299911503,SC,overture
node/1029991438,TN,overture
node/10300543677,SC,nearest truck route
node/10300709938,NC,osm
node/10300709939,NC,osm
node/10300857467,OH,osm
node/10300887123,TX,osm
node/10300988903,OH,osm
node/10301007845,TX,osm
node/10301072064,TX,osm
node/10301192681,CA,osm
node/10301223067,CA,osm
node/10301257864,CA,osm
node/10301276334,NC,osm
node/10301345173,OH,nearest truck route
node/10303074530,NH,nearest truck route
node/10303077810,VA,overture
node/10303588361,CA,overture
node/10303588551,TX,nearest truck route
node/10303596973,CA,overture
node/10303696480,CA,overture
node/1030380330,TX,overture
node/1030470905,WI,overture
node/10305042936,TX,nearest truck route
node/10307186481,OH,osm
node/10307710801,NJ,overture
node/10307710803,NJ,overture
node/10307726222,NJ,overture
node/10308144445,CA,overture
node/10308896594,NY,overture
node/10308896596,NY,overture
node/10308924778,NY,overture
node/10309079016,NJ,nearest truck route
node/10309346308,TX,overture
node/10309429367,TX,overture
node/10309429369,TX,overture
node/10309635837,NJ,overture
node/10309855790,AZ,overture
node/10309983753,TX,overture
node/10309983757,CA,overture
node/10309983769,CA,overture
node/10310267622,CA,nearest truck route
node/10310267629,CA,overture
node/1031049068,CA,overture
node/10311323760,NY,overture
node/10311323764,NY,overture
node/10311354227,NC,osm
node/10311964896,CA,overture
node/10312041835,FL,overture
node/10312057841,NY,overture
node/10312225981,TX,overture
node/10312401481,TX,nearest truck route
node/10312401506,TX,overture
node/10312652886,TX,overture
node/10312652901,TX,overture
node/10312681398,TX,overture
node/10313291909,TX,overture
node/10313292011,TX,overture
node/10313584550,TX,overture
node/10313877324,MI,overture
node/10313880922,NJ,nearest truck route
node/10313923721,GA,overture
node/10314082021,MD,overture
node/10315071529,SC,overture
node/10315368139,GA,overture
node/10315368150,GA,overture
node/10315545012,NJ,overture
node/10316198584,FL,overture
node/10316266059,NY,overture
node/10316780409,OH,overture
node/10316833709,TX,overture
node/10316833909,TX,overture
node/10316842109,TX,overture
node/1032125145,GA,overture
node/1032125176,GA,overture
node/1032600624,MO,overture
node/1033057327,GA,osm
node/1033850106,MN,nearest truck route
node/1034706004,PA,overture
node/1034706012,PA,osm
node/1035224941,CO,nearest truck route
node/1035563710,WV,nearest truck route
node/1035989289,CA,overture
node/1036344185,CA,overture
node/103637141,NJ,overture
node/1036431164,NY,nearest truck route
node/1036711435,KS,overture
node/1036711543,KS,nearest truck route
node/1036711624,KS,overture
node/1038018407,WY,overture
node/1038018475,WY,nearest truck route
node/1038018785,WY,overture
node/1038018936,WY,overture
node/1038019528,WY,overture
node/1039312231,IN,osm
node/1039312320,IN,osm
node/1039312412,IN,osm
node/1039312583,IN,osm
node/1039312715,IN,osm
node/1039312767,IN,osm
node/1039312780,IN,osm
node/1039312944,IN,osm
node/1039366354,IN,osm
node/1039366388,IN,osm
node/1039366459,IN,osm
node/1039366470,IN,osm
node/1039366502,IN,osm
node/1039366516,IN,osm
node/1039366532,IN,osm
node/1039366543,IN,osm
node/1039366551,IN,osm
node/1039366566,IN,osm
node/1039395010,IN,osm
node/1039395012,IN,osm
node/1039395013,IN,osm
node/1039395016,IN,osm
node/1039395018,IN,osm
node/1039395019,IN,osm
node/1039395034,IN,osm
node/1039395042,IN,osm
